,Unnamed: 0,vu_ort,vu_hoehe,tag,datum,uhrzeit,kat,flucht,t,sv,lv,anzahl_beteiligte,fg,rf,mofa,kkr,krad,pkw,lkw,kom,sonstige,1,2,alkohol,typ,1_urs,2_urs,3_urs,sonst_urs,lichtverhaeltnisse,strassenzustand,01_alter_in_jahren,kinder,18_24,senioren,source_file,igo,ago,helm,kennz_01,kennz_02,urs_02,02_alter_in_jahren,bemerkungen,igvp,strassenschluessel,strassennummer,ortslage,lsa_in_betrieb,fgue,kreisverkehr,zul_geschwindigkeit,bus,zug,art,3
2800,2800,Kanalstraße,Promenade,Di.,24/04/07,18:45,5.0,,,,,2.0,,1.0,,,,1.0,,,,71.0,21.0,,301,28.0,,,,0,0,,,,,unfalldaten07.csv,,,,,,,,,,,,,,,,,,,,
6303,6303,Promenade,Neubrückentor,Fr.,7/9/2007,17:55,3.0,,,,2.0,2.0,1.0,1.0,,,,,,,,71.0,81.0,,799,49.0,,,,0,1,,,,1.0,unfalldaten07.csv,,,,,,,,,,,,,,,,,,,,
13628,4198,Promenade,Promenade,Do.,6/12/2008,17:35,3.0,,,,1.0,2.0,,2.0,,,,,,,,71.0,71.0,,321,,27.0,,,0,1,,,1.0,,unfalldaten08.csv,,,,,,,,,,,,,,,,,,,,
20491,1705,Promenade,zw. Zwinger u.Neubrückenstr.,Mo,9/28/2009,16:20,2.0,,,1.0,,2.0,,2.0,,,,,,,,71.0,71.0,,651.0,,21.0,,,0,0,,,,,unfalldaten09.csv,,,,,,,,,,,,,,,,,,,,
28329,9543,Kanalstraße,Promenade,Di,12/22/2009,8:07,5.0,,,,,2.0,,,,,,2.0,,,,21.0,21.0,,601.0,,14.0,,,2/3/2016,1,,,,,unfalldaten09.csv,,,,,,,,,,,,,,,,,,,,
28423,9637,Kanalstraße,Promenade,Do,12/31/2009,10:40,5.0,,,,,2.0,,,,,,1.0,1.0,,,41.0,21.0,,601.0,,14.0,72.0,,0,2,,,,,unfalldaten09.csv,,,,,,,,,,,,,,,,,,,,
46144,7532,Neubrückenstraße,15 m vor Kanalstraße,Do,10/13/2011,13:10,5.0,,,,,2.0,,,,,,1.0,,1.0,,33.0,21.0,,501,,14.0,,,,,43,,,,unfalldaten11.csv,,,,,,,,,,,,,,,,,,,,
46167,7555,Kanalstraße,Promenade,Fr,10/14/2011,0:40,5.0,,,,,1.0,,,,,,1.0,,,,21.0,,,799,,14.0,,,2/3/2016,,61,,,,unfalldaten11.csv,,,,,,,,,,,,,,,,,,,,
47007,8395,Promenade,zw. Kanalstr. Und am Kreuztor,Sa,11/12/2011,5:18,3.0,,,,1.0,1.0,,1.0,,,,,,,,71.0,,,141,1,49.0,,,2/3/2016,,24,BAK = ???,,,unfalldaten11.csv,,,,,,,,,,,,,,,,,,,,
50209,1764,Neubrückenstraße,Kanalstraße,Do,3/8/2012,17:50,5.0,,,,,1.0,,,,,,,,1.0,,33.0,,,711,,36.0,,,1,,43,,,,unfalldaten12.csv,,,,,,,,,,,,,,,,,,,,
56087,7642,Kanalstraße,Promenade,Mi,10/17/2012,15:57,5.0,,,,,2.0,,1.0,,,,1.0,,,,71.0,21.0,,501,,14.0,,,,1,26,,,,unfalldaten12.csv,,,,,,,,,,,,,,,,,,,,
58698,409,Kanalstraße,Promenade,Di,1/22/2013,7:55,5.0,,,,,2.0,,,,,,2.0,,,,21.0,21.0,,601,,14.0,,,,2,25,,,,unfalldaten13.csv,,,,,,,,,,,,,,,,,,,,
63881,5592,Promenade,zw. Neubrückentor und Hörsterstraße,Mo,7/8/2013,8:00,3.0,,,,1.0,2.0,,2.0,,,,,,,,71.0,71.0,,322,,37.0,,,,,34,,,,unfalldaten13.csv,,,,,,,,,,,,,,,,,,,,
67973,138,Neubrückentor,Promenade,Fr,1/10/2014,16:25,5.0,,,,,2.0,,1.0,,,,1.0,,,,71.0,21.0,,601,,14.0,,,,,13,,,,unfalldaten14.csv,,,,,,,,,,,,,,,,,,,,
