,OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,STRZUSTAND,source_file,UIDENTSTLAE
95571,95572,5,5,15,0,2019,1,21,3,3,5,2,2,0,1,0,1,0,0,"403046,026129555890000","5755125,999404810400000",7.589618466000047,51.93839506900008,1,Unfallorte2019_LinRef.csv,
96139,96140,5,5,15,0,2019,1,10,6,3,2,6,0,0,1,0,0,0,0,"407043,794199236670000","5757872,107910919900000",7.647013014000038,51.963760756000056,1,Unfallorte2019_LinRef.csv,
96220,96221,5,5,15,0,2019,1,20,5,3,4,2,2,1,1,0,0,0,0,"407031,446276433770000","5757918,803299745500000",7.646820702000071,51.96417841300007,1,Unfallorte2019_LinRef.csv,
96293,96294,5,5,15,0,2019,1,19,4,3,3,6,2,1,0,0,0,0,0,"405160,114401451310000","5756934,443669045300000",7.619863259000056,51.95501449000005,0,Unfallorte2019_LinRef.csv,
96358,96359,5,5,15,0,2019,1,20,3,3,6,2,2,0,1,1,0,0,0,"404672,989594315180000","5759321,087325226500000",7.612114161000022,51.97638324300004,1,Unfallorte2019_LinRef.csv,
96359,96360,5,5,15,0,2019,1,20,3,2,5,3,2,0,1,0,0,0,0,"411665,464347521770000","5751946,068667240400000",7.715785125000025,51.911246411000036,1,Unfallorte2019_LinRef.csv,
96360,96361,5,5,15,0,2019,1,20,3,3,6,2,2,0,1,1,0,0,0,"405943,110112403520000","5756807,472815109400000",7.63128886100003,51.95400620100003,1,Unfallorte2019_LinRef.csv,
96557,96558,5,5,15,0,2019,1,19,2,3,2,6,2,0,1,0,0,0,1,"403890,095973975030000","5754747,269114304300000",7.601998939000055,51.93513733000003,1,Unfallorte2019_LinRef.csv,
96573,96574,5,5,15,0,2019,1,14,1,3,2,6,0,0,1,0,0,0,0,"401845,053947218690000","5755359,935216773300000",7.572087080000074,51.94028719200003,1,Unfallorte2019_LinRef.csv,
96574,96575,5,5,15,0,2019,1,0,1,2,5,3,2,1,1,0,0,0,0,"406305,766868651840000","5756678,901332071100000",7.636599663000027,51.95291175600005,1,Unfallorte2019_LinRef.csv,
96635,96636,5,5,15,0,2019,1,13,6,3,5,2,0,1,1,0,0,0,0,"400561,828999999910000","5756756,569000002000000",7.553021717000036,51.95261252500006,1,Unfallorte2019_LinRef.csv,
96739,96740,5,5,15,0,2019,1,1,5,3,0,1,2,1,0,0,0,0,0,"406307,062635663900000","5757679,488121770300000",7.636345630000051,51.961905724000076,0,Unfallorte2019_LinRef.csv,
96821,96822,5,5,15,0,2019,1,20,4,3,3,6,2,1,0,0,0,0,0,"406077,491536684330000","5756742,159873986600000",7.633261623000067,51.95344184900006,0,Unfallorte2019_LinRef.csv,
96822,96823,5,5,15,0,2019,1,18,4,3,2,6,2,0,1,0,0,0,0,"408199,781000000420000","5754183,669999999900000",7.664818571000069,51.93079897400003,0,Unfallorte2019_LinRef.csv,
96823,96824,5,5,15,0,2019,1,17,4,2,4,7,2,0,1,0,0,0,0,"410686,894977143030000","5755398,734890408800000",7.700666523000052,51.94212553700004,0,Unfallorte2019_LinRef.csv,
96824,96825,5,5,15,0,2019,1,13,4,2,0,1,0,1,0,0,0,0,0,"401821,228848671540000","5760893,502304786800000",7.57015851500006,51.99001986800005,0,Unfallorte2019_LinRef.csv,
96825,96826,5,5,15,0,2019,1,7,4,2,5,3,2,0,1,0,1,0,0,"405551,033212548120000","5756695,042609032200000",7.625616051000066,51.95292917900008,1,Unfallorte2019_LinRef.csv,
96826,96827,5,5,15,0,2019,1,19,4,3,0,7,2,0,1,0,0,0,1,"407185,393734207380000","5760909,694157291200000",7.648251780000066,51.99108772800008,1,Unfallorte2019_LinRef.csv,
96893,96894,5,5,15,0,2019,1,7,2,3,0,1,1,1,0,0,0,0,0,"401204,257600331680000","5764140,955350289100000",7.56023976900002,52.01909893800007,1,Unfallorte2019_LinRef.csv,
96894,96895,5,5,15,0,2019,1,7,2,3,2,6,2,0,1,0,0,0,0,"401623,983475673940000","5749145,586523486300000",7.570646967000073,51.88439178500005,1,Unfallorte2019_LinRef.csv,
96895,96896,5,5,15,0,2019,1,6,2,3,6,2,2,0,1,1,0,0,0,"404403,946328249760000","5755372,752421826100000",7.609297097000024,51.94084793300004,1,Unfallorte2019_LinRef.csv,
97018,97019,5,5,15,0,2019,1,21,1,3,1,6,2,0,1,0,0,0,0,"403700,193000000900000","5759585,671000000100000",7.597881321000045,51.97859366700004,1,Unfallorte2019_LinRef.csv,
97019,97020,5,5,15,0,2019,1,14,1,2,0,7,0,0,1,1,0,0,0,"406330,091000000010000","5756430,870999999300000",7.637021114000049,51.95068643600007,1,Unfallorte2019_LinRef.csv,
97073,97074,5,5,15,0,2019,1,11,7,3,9,7,0,0,1,0,0,0,0,"407935,016470468600000","5766763,359300250200000",7.65759182100004,52.043827959000055,1,Unfallorte2019_LinRef.csv,
97285,97286,5,5,15,0,2019,1,23,4,3,1,5,2,1,1,0,0,0,0,"407021,797585272230000","5757850,163010250800000",7.646698889000049,51.96355982500006,1,Unfallorte2019_LinRef.csv,
97286,97287,5,5,15,0,2019,1,16,4,3,5,6,0,1,1,0,0,0,0,"405578,328000000680000","5756998,951000003100000",7.625929598000028,51.955665476000036,0,Unfallorte2019_LinRef.csv,
97287,97288,5,5,15,0,2019,1,13,4,2,3,6,0,0,1,0,0,0,0,"406834,884256063960000","5756777,812501605600000",7.64427001100006,51.953889709000066,0,Unfallorte2019_LinRef.csv,
97288,97289,5,5,15,0,2019,1,7,4,3,5,3,1,1,1,0,0,0,0,"405194,323750388810000","5750115,780875433200000",7.622239004000051,51.89373098200008,0,Unfallorte2019_LinRef.csv,
97369,97370,5,5,15,0,2019,1,17,3,3,1,6,2,0,1,0,0,0,0,"406317,033907494510000","5758862,486096819900000",7.636167932000035,51.97254073400006,0,Unfallorte2019_LinRef.csv,
97370,97371,5,5,15,0,2019,1,15,3,3,2,2,0,0,1,0,0,0,0,"399886,020915424450000","5761034,525612270500000",7.541943416000038,51.99094194500003,1,Unfallorte2019_LinRef.csv,
97371,97372,5,5,15,0,2019,1,8,3,3,2,6,0,0,1,0,0,0,1,"404721,382000002080000","5761218,333000004300000",7.612291473000028,51.99344463800003,0,Unfallorte2019_LinRef.csv,
97578,97579,5,5,15,0,2019,1,17,1,3,5,3,0,0,1,0,0,0,0,"403934,401000000540000","5758094,855000004200000",7.601707500000032,51.96523427600005,0,Unfallorte2019_LinRef.csv,
97579,97580,5,5,15,0,2019,1,12,1,3,6,4,0,0,1,1,0,0,0,"405155,039198338990000","5756904,849539145800000",7.619797595000023,51.954747620000035,0,Unfallorte2019_LinRef.csv,
