vu_ort,vu_hoehe,tag,datum,uhrzeit,kat,flucht,igo,ago,t,sv,lv,anzahl_beteiligte,fg,rf,helm,mofa,kkr,krad,pkw,lkw,kom,sonstige,1,kennz_01,2,kennz_02,alkohol,typ,1_urs,2_urs,3_urs,sonst_urs,urs_02,lichtverhaeltnisse,strassenzustand,01_alter_in_jahren,02_alter_in_jahren,bemerkungen,igvp,,,,,
Alter Mühlenweg,im Verlauf,mo,02.01.2017,17:15,5,,,a,,,,2,,,,,,,2,,,,21,ms,21,ham,,681,,11,,,,2,1,65,,,702000-000316-17/0,,,,,
Mecklenbecker Straße,Bonhoefferstraße,di,03.01.2017,00:39,3,,,,,,1,2,,,,,,,2,,,,21,coe,21,be,,302,,28,,,,2/3,2,71,19,,702000-000336-17/2,,,,,
Emdener Straße,ggü. 11,so,01.01.2017,19:40,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,so,,501,,14,,,,2/3,1,23,,,,,,,,
Bahnhofstraße,Wolbecker Straße,so,01.01.2017,01:42,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,st,,623,,14,,,,2,,47,,,,,,,,
Hafenweg,Dortmunder Straße,so,01.01.2017,13:02,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,,26,,,,,,,,
Grevener Straße,Melchersstraße,so,01.01.2017,19:00,5,,o,,,,,2,,1,n,,,,1,,,,71,,21,ms,,501,,49,,,,2,,46,,,,,,,,
Am Kleibusch,20,so,01.01.2017,17:35,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,2,,29,,,,,,,,
Friedrich-Ebert-Straße,Hammer Straße,so,01.01.2017,13:45,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,201,,14,,,,,,47,,,,,,,,
Im Derdel,10,mo,02.01.2017,11:20,5,,m,,,,,2,,,,,,,1,1,,,44,bi,21,ms,,711,,36,,,,,1,56,,,,,,,,
Westhoffstraße,Wilkinghege,mo,02.01.2017,02:30,5,,o,,,,,1,,,,,,,1,,,,21,ms,,,,101,,13,72,,,2,2,61,,Stadt,,,,,,
Maximilianstraße,23,mo,02.01.2017,08:20,5,,o,,,,,2,,,,,,,1,,,1,59,ms,21,ms,,501,,14,,,,1,1,43,,,,,,,,
Theodor-Scheiwe-Straße,2,mo,02.01.2017,16:00,5,,z,,,,,3,,,,,,,3,,,,21,bf,21,waf,,703,,44,,,,,1,54,,,,,,,,
Altenberger Straße,Häger Straße,mo,02.01.2017,15:29,5,,m,,,,,1,,,,,,,1,,,,21,ms,,,,121,,14,49,,,,1,75,,Stadt,,,,,,
Mathilde-Anneke-Weg,ggü. 24,mo,02.01.2017,10:39,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,2,63,,,,,,,,
Ostmarkstraße,92,mo,02.01.2017,11:38,5,,m,,,,,2,,,,,,,2,,,,21,lip,21,be,,301,,37,,,,,1,32,,,,,,,,
Amelsbürener Straße,Thomas-Mann-Weg,mo,02.01.2017,02:50,5,,m,,,,,1,,,,,,,1,,,,21,ms,,,,141,,13,72,,,2,2,41,,Stadt,,,,,,
Langemarckstraße,54,mo,02.01.2017,09:20,5,,o,,,,,2,,,,,,,1,,,1,59,coe,21,cas,,501,,14,,,,,,24,,Remondis,,,,,,
Weseler Straße,Höhe Park & Ride,mo,02.01.2017,17:04,5,,m,,,,,2,,,,,,,2,,,,21,bor,21,ms,,623,,14,,,,1,1/2,31,,,,,,,,
Westfalenstraße,109,mo,02.01.2017,10:30,5,,o,,,,,2,,,,,,,,,,2,59,ms,59,ham,,711,,36,,,,,1,19,,,,,,,,
Warendorfer Straße,B 51,mo,02.01.2017,19:25,5,,z,,,,,2,,,,,,,2,,,,21,k,21,ms,,623,,14,73,,,2/3,1,59,,,,,,,,
Schorlemerstraße,26,mo,02.01.2017,21:00,5,,z,,,,,2,,,,,,,2,,,,21,dh,21,st,,623,,14,73,,,2/3,1,33,,,,,,,,
Servatiiplatz,Wolbecker Straße / Parkplatz,mo,02.01.2017,22:35,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,2/3,2,19,,,,,,,,
Alter Steinweg,Lambertikirchplatz,mo,02.01.2017,07:20,5,,m,,,,,1,,,,,,,,1,,,44,coe,,,,711,,36,,,,2/3,1,49,,Stadt,,,,,,
Alter Steinweg,47,mo,02.01.2017,11:50,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,pb,,711,,36,,,,,1,61,,,,,,,,
Hammer Straße,453,mo,02.01.2017,14:00,5,,m,,,,,3,,,,,,,3,,,,21,lh,21,ms,,611,,14,,,,,,27,,,,,,,,
An der Alten Kirche,9,mo,02.01.2017,22:50,5,,m,,,,,1,,,,,,,1,,,,21,ms,,,,141,,13,72,,,2,2,32,,,,,,,,
Frie-Vendt-Straße,Hafenstraße,mi,04.01.2017,13:50,5,,a,,,,,2,,,,,,,1,1,,,21,coe,59,ms,,699,,49,,,,,1,63,,,702000-000782-17/9,,,,,
Alter Mühlenweg,55,mo,02.01.2017,09:50,3,,,,,,1,1,,,,,,,1,,,,21,ms,,,,101,,49,72,,,,1/2,54,,,702000-000215-17/9,,,,,
Hofkamp,Alter Postweg,mo,02.01.2017,10:30,5,,a,,,,,1,,,,,,,1,,,,21,ms,,,,101,,13,72,,,,2,65,,,,,,,,
Hammer Straße,Auffahrt B 51,di,03.01.2017,18:07,5,,m,,,,,2,,,,,,,2,,,,21,lh,21,bor,,623,,14,,,,1,1,22,,,,,,,,
Roxeler Straße,522,di,03.01.2017,18:55,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,coe,,623,,14,,,,2,1,20,,,,,,,,
Niels-Stensen-Straße,10,di,03.01.2017,16:05,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,bor,,572,,36,37,,,1,1,58,,,,,,,,
Rüschhausweg,Twerenfeldweg,di,03.01.2017,16:40,5,,m,,,,,1,,,,,,,1,,,,21,os,,,,141,,49,,,,1,,56,,Stadt,,,,,,
Friedrich-Ebert-Straße,143,di,03.01.2017,15:17,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,1,30,,,,,,,,
Lkirchstraße,25,di,03.01.2017,22:19,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,2,1,38,,,,,,,,
Junkerstraße,13,di,03.01.2017,10:30,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,581,,45,,,,,,?,,,,,,,,
Von-Stauffenberg-Straße,Sperlichstraße,di,03.01.2017,09:15,5,,o,,,,,2,,,,,,,1,,,1,59,ms,21,coe,,711,,36,,,,,1,49,,,,,,,,
Geistmarkt,Geiststraße,di,03.01.2017,10:50,5,,m,,,,,2,,,,,,,2,,,,21,ka,21,ms,,631,,26,,,,,1,29,,,,,,,,
Hüfferstraße,69,di,03.01.2017,08:58,5,,m,,,,,2,,,,,,,1,,1,,33,waf,21,ms,,501,,14,,,,,1,28,,,,,,,,
Mecklenbecker Straße,277,mi,04.01.2017,16:55,4,,,,,,,3,,,,,,,3,,,,21,ms,21,ms,,249,,13,49,,,2/3,1,83,,,702000-000831-17/7,,,,,
Schloßplatz,26,mi,04.01.2017,17:55,3,,,,,,2,2,,,,,,,2,,,,21,ms,21,coe,,602,,14,,,,2/3,1,36,20,,702000-000858-17/2,,,,,
Von-Stauffenberg-Straße,12,so,01.01.2017,09:45,5,X,,,,,,2,,,,,,,1,,,1,92,,21,coe,,799,,49,,,,,,F,,,702000-000089-17/8,,,,,
Steinfurter Straße,Wilkinghege,mo,02.01.2017,22:30,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,621,,14,,,,,,42,,,,,,,,
Tannenbergstraße,15,di,03.01.2017,14:50,5,,o,,,,,1,,,,,,,,1,,,44,lip,,,,711,,36,,,,,,43,,Stadt,,,,,,
Am Steintor,500m h. OA Wolbecker FR Albersloh,mi,04.01.2017,21:50,5,,,m,,,,1,,,,,,,1,,,,21,ms,,,,102,,13,72,,,2,2,21,,Stadt,,,,,,
Am Steintor,"Haltestelle "" Juffernkamp""",mi,04.01.2017,22:30,5,,o,,,,,1,,,,,,,1,,,,21,ms,,,,141,,13,72,,,2,2,36,,Stadt,,,,,,
Kappenberger Damm,Kölner Straße,mi,04.01.2017,06:45,5,,m,,,,,3,,,,,,,3,,,,21,coe,21,coe,,231,,14,,,,2,1,21,,,,,,,,
Gremmendorfer Weg,Gustv-Tweer-Weg,mi,04.01.2017,17:00,5,,m,,,,,2,,,,,,,1,1,,,21,ms,44,coe,,501,,14,,,,2/3,1,75,,,,,,,,
Hammer Straße,234,mi,04.01.2017,15:45,5,,o,,,,,1,,,,,,,,1,,,44,PL,,,,711,,36,,,,,5,62,,,,,,,,
Schiffahrter Damm,Ostmarkstraße,mi,04.01.2017,08:05,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,621,,14,,,,1/3,1,41,,,,,,,,
Angelmodder Weg,200m vor OE Angelmodde,mi,04.01.2017,22:40,5,,m,,,,,1,,,,,,,1,,,,21,so,,,,141,,13,72,,,3,2,22,,,,,,,,
Höltenweg,73,mi,04.01.2017,12:01,5,,m,,,,,1,,,,,,,,1,,,40,coe,,,,711,,36,,,,,1,29,,,,,,,,
Am Dornbusch,Hansestraße,mi,04.01.2017,22:45,5,,o,,,,,1,,,,,,,,,1,,33,st,,,,101,,13,72,,,2/3,2,52,,,,,,,,
Weseler Straße,51,mi,04.01.2017,14:50,5,,o,,,,,1,,,,,,,,1,,,44,bn,,,,799,,49,,,,,,36,,Stadt,,,,,,
Alter Mühlenweg,300m vor auf der Laer,mi,04.01.2017,22:00,5,,o,,,,,1,,,,,,,1,,,,21,ms,,,,141,,13,72,,,2,2,67,,Stadt,,,,,,
Wolbecker Straße,36,mi,04.01.2017,17:15,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,m,,551,,37,,,,2,1,52,,,,,,,,
Friedrich-Ebert-Straße,114,mi,04.01.2017,16:35,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,2,1,31,,,,,,,,
Ludgeriplatz,Hammer Straße,mi,04.01.2017,16:00,5,,m,,,,,2,,,,,,,2,,,,21,me,21,lh,,231,,14,,,,,,48,,,,,,,,
Bohlweg,Kaiser-Wilhelm-Ring,mi,04.01.2017,15:50,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,ms,,644,,26,,,,,1,21,,,,,,,,
Katthagen,40,do,05.01.2017,19:15,5,,m,,,,,2,,,,,,,2,,,,21,do,21,ms,,501,,14,,,,,,45,,,,,,,,
Erphostraße,Overbergstraße,do,05.01.2017,19:00,5,,m,,,,,2,,,,,,,1,1,,,44,ms,21,ms,,501,,14,,,,2,,25,,,,,,,,
Weseler Straße,Goebenstraße,do,05.01.2017,15:50,5,,m,,,,,2,,,,,,,1,,1,,21,coe,31,ms,,232,,34,,,,,,54,,,,,,,,
Hansaring,38,do,05.01.2017,13:20,5,,o,,,,,2,,,,,,,,2,,,44,ms,44,waf,,501,,14,,,,,,36,,,,,,,,
Vennheideweg,33,do,05.01.2017,11:40,5,,m,,,,,1,,,,,,,1,,,,21,re,,,,799,,49,,,,,,49,,Stadt,,,,,,
Gievenbecker Reihe,Roxeler Straße,do,05.01.2017,12:25,5,,m,,,,,2,,,,,,,1,1,,,21,ms,40,ms,,623,,14,,,,,2,46,,,,,,,,
Lützowstraße,100m vor Kötterstraße,do,05.01.2017,08:15,5,,,o,,,,1,,,,,,,1,,,,21,ms,,,,751,,0,,86,,2,1,71,,,,,,,,
Friedrichstraße,Wolbecker Straße,do,05.01.2017,14:20,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,ms,,702,,14,,,,,,62,,,,,,,,
Albert-Schweitzer-Straße,Roxeler Straße,do,05.01.2017,07:10,5,,o,,,,,1,,,,,,,1,,,,21,coe,,,,799,,13,72,,,2,2,44,,,,,,,,
Heerdestraße,Grimmstraße,do,05.01.2017,14:00,5,,o,,,,,2,,,,,,,1,,,1,59,coe,21,ms,,501,,14,,,,,,51,,Remondis,,,,,,
Friesenring,49,do,05.01.2017,15:10,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,,,34,,,,,,,,
Roxeler Straße,416,do,05.01.2017,12:40,5,,o,,,,,2,,,,,,,2,,,,21,so,21,ms,,703,,36,,,,,,21,,,,,,,,
Nottulner Landweg,Parkplatz Rewe,do,05.01.2017,11:31,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,49,,,,,2,77,,,,,,,,
B 219,Weseler Straße,do,05.01.2017,18:55,5,,m,,,,,2,,,,,,,2,,,,21,hh,21,ms,,601,,14,,,,2,,43,,,,,,,,
Weseler Straße,675,do,05.01.2017,13:00,5,,m,,,,,2,,,,,,,1,1,,,21,ms,40,ms,,301,,37,,,,,,90,,,,,,,,
Hölkenbusch,"Höhe ""Hölken Geflügel""",di,03.01.2017,07:35,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,681,,11,72,,,,1/2,F,,,702000-000482-17/3,,,,,
Loddenheide,3,di,03.01.2017,15:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,703,,49,,,,,,F,,,702000-000715-17/9,,,,,
Loerstraße,Parkhaus,do,05.01.2017,12:17,5,X,,,,,,2,,,,,,,1,,,1,92,,21,e,,703,,49,,,,,,F,,,702000-001064-17/4,,,,,
Gievenbecker Reihe,150m v. Roxeler Straße,do,05.01.2017,12:41,3,,,,,,1,1,,1,n,,,,,,,,71,,,,,141,,49,72,,,,2,51,,,702000-001002-17/0,,,,,
Bismarckallee,Richard-Schirrmann-Weg,di,03.01.2017,08:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,,,F,,,702000-000912-17/6,,,,,
