vu_ort,vu_hoehe,tag,datum,uhrzeit,kat,flucht,igo,ago,t,sv,lv,anzahl_beteiligte,fg,rf,helm,mofa,kkr,krad,pkw,lkw,kom,sonstige,1,kennz_01,2,kennz_02,alkohol,typ,1_urs,2_urs,3_urs,sonst_urs,urs_02,lichtverhaeltnisse,strassenzustand,01_alter_in_jahren,02_alter_in_jahren,bemerkungen,igvp
Fresnostraße,16,di,01.01.2018,20:30,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,502,,49,,,,,,F,,,702000-001324-18/3
Wilkinghege,55,fr,05.01.2018,10:25,3,,,,,,1,2,,,,,,,2,,,,21,coe,21,ms,,681,,13,73,,,,1,54,73,,702000-000848-18/8
Catharina-Müller-Straße,Gasselstiege,mi,03.01.2018,17:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,,,F,,,702000-001367-18/4
Robert-Bosch-Straße,2,mi,03.01.2018,19:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,703,,49,,,,2/3,,F,,,702000-000534-18/5
Friedrich-Ebert-Straße,122,di,02.01.2018,16:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,coe,,703,,49,,,,,,F,,,702000-001021-18/0
Burgstraße,16a,sa,06.01.2018,16:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,hsk,,701,,49,,,,,,F,,,702000-001106-18/5
Warendorfer Straße,171,mi,03.01.2018,06:45,5,X,,,,,,2,,,,,,,2,,,,21,,21,ms,,633,,26,,,,2/3,,F,,,702000-000380-18/0
Turmstraße,32,di,02.01.2018,21:20,5,X,,,,,,2,,,,,,,1,,,1,92,,21,b,,799,,49,,,,,,F,,,702000-001013-18/7
Heisenbergstraße,15,do,04.01.2018,18:10,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,2/3,1,F,,,702000-000744-18/0
Grevener Straße,York-Ring,di,02.01.2018,15:50,2,X,,,,1,,2,,1,n,,,,1,,,,21,,71,,,232,,34,,,,,1,F,32,,702000-000294-18/5
Am Berg Fidel,51,do,04.01.2018,18:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,702,,36,49,,,2/3,1,F,,,702000-000851-18/6
Westfalenstraße,Friedhofstraße,mi,03.01.2018,20:15,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,ms,,303,,31,,,,2/3,1,55,,,702000-000538-18/1
An der Hansalinie,Haltestelle Linie 15,fr,05.01.2018,17:00,5,,z,,,,,2,,,,,,,1,,1,,33,st,21,coe,,551,,37,,,,1,,49,,,
Westfalenstraße,Amelsbürener Straße,sa,06.01.2018,14:50,5,,a,,,,,2,,1,n,,,,,1,,,51,sk,71,,,241,,34,,,,,1,40,,,
Nottulner Landweg,Oberort,fr,05.01.2018,16:40,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,boh,,302,,28,,,,2,1,51,,,
Elisabeth-Ney-Straße,18,sa,06.01.2018,18:50,5,,z,,,,,2,,,,,,,1,1,,,40,bn,21,lp,,711,,36,,,,2,,18,,,
Neutor,LSA Schloßplatz,fr,05.01.2018,11:05,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,su,,641,,26,,,,,1,24,,,
Ludgeriplatz,Schorlemerstraße,sa,06.01.2018,10:25,5,,z,,,,,2,,,,,,,2,,,,21,os,21,ms,,252,,14,,,,,,64,,,
Weseler Straße,B51 FR BAB,fr,05.01.2018,15:15,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,631,,26,,,,,,82,,,
Friedensstraße,ggü. 29,do,04.01.2018,08:15,5,,z,,,,,2,,,,,,,1,1,,,44,me,21,coe,,501,,14,,,,2/3,1,45,,,
Schreiberstraße,ggü. 2,do,04.01.2018,10:05,5,,z,,,,,2,,,,,,,1,1,,,44,st,21,bf,,501,,14,,,,,,57,,,
Wulfertstraße,Pantaleonsplatz,do,04.01.2018,15:10,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,,67,,,
Reinerskamp,1,mo,08.01.2018,10:25,5,,z,,,,,2,,,,,,,1,1,,,40,bn,21,ms,,502,,14,,,,,,58,,,
Holtmannsweg,Zum Rieselfeld,mo,08.01.2018,20:50,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,601,,14,,,,2/3,,29,,,
Inselbogen,Weseler Straße,do,04.01.2018,15:05,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,623,,14,,,,,1,39,,,
Hafenweg,Höhe Fa. HarleyDavidson,fr,05.01.2018,04:00,5,,z,,,,,2,,1,P,,,,1,,,,21,ms,71,,,712,,36,,,,2,,26,,,
Marktallee,49,do,04.01.2018,20:20,5,,z,,,,,2,,,,,,,1,,,1,59,ms,21,ms,,501,,14,,,,2,1,31,,,
Steinfurter Straße,Austermannstraße,fr,05.01.2018,17:16,5,,m,,,,,2,,,,,,,2,,,,21,lip,21,ms,,623,,14,,,,2,,49,,,
An der Germaniabrauerei,6,fr,05.01.2018,09:10,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,waf,,703,,36,,,,,,65,,,
Blücherstraße,14,do,04.01.2018,23:00,5,,o,,,,,2,,,,,,,2,,,,21,coe,21,ms,,711,,36,,,,2,1,24,,,
Neutor,Münzstraße,fr,05.01.2018,21:30,5,,m,,,,,2,,,,,,,2,,,,21,el,21,lh,,623,,14,,,,2,1,24,,,
Hoher Heckenweg,116,sa,06.01.2018,20:30,5,,o,,,,,1,,,,,,,1,,,,21,ms,,,,711,,36,,,,2/3,,21,,Stadt,
Coerdestraße,Hoyastraße,sa,06.01.2018,20:01,5,,m,,,,,2,,,,,,,2,,,,21,ha,21,ms,,501,,14,,,,2/3,,74,,,
Albersloher Weg,Schlesienstraße,fr,05.01.2018,18:00,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,ms,,623,,14,,,,2,,26,,,
Hoffmann-Von-Fallersleben-Weg,53,sa,06.01.2018,12:50,5,,m,,,,,2,,,,,,,1,1,,,40,ms,21,ms,,501,,14,,,,,,42,,,
Loddenheide,5,sa,06.01.2018,17:20,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,rz,,703,,14,,,,2,,59,,,
Nottebrock,Wittlerheide,sa,06.01.2018,19:40,5,,,o,,,,1,,,,,,,1,,,,21,ms,,,,751,,86,,,,2,1,30,,,
Mauritzstraße,Eisenbahnstraße,so,07.01.2018,19:25,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,623,,14,,,,2,,43,,,
Grevener Straße,69,fr,05.01.2018,15:39,5,,m,,,,,2,,,,,,,2,,,,21,coe,21,ms,,326,,14,,,,,,67,,,
Hansaring,45,sa,06.01.2018,13:20,5,,o,,,,,2,,,,,,,2,,,,21,eun,21,waf,,601,,14,,,,,,39,,,
Schlossplatz,Gerichtsstraße,sa,06.01.2018,14:05,5,,o,,,,,2,,,,,,,2,,,,21,te,21,ms,,623,,14,,,,,,37,,,
Admiral-Spee-Straße,Gorch-Fock-Straße,mo,08.01.2018,03:40,5,,m,,,,,2,,,,,,,1,1,,,51,mi,21,ms,,501,,14,,,,,,69,,,
Waldeyerstraße,49,fr,05.01.2018,11:45,5,,o,,,,,2,,,,,,,2,,,,21,st,21,ms,,501,,14,,,,,1,37,,,
Schmüllingstraße,42,fr,05.01.2018,10:45,5,,o,,,,,1,,,,,,,1,,,,44,coe,,,,101,,14,,,,,1,33,,Remondis,
Warendorfer Straße,Stiftsstraße,sa,06.01.2018,16:10,5,,m,,,,,2,,,,,1,,1,,,,01,,21,ms,,621,,14,,,,1/3,,29,,,
Von-Vincke-Straße,Salzstraße,so,07.01.2018,20:10,5,,m,,,,,2,,,,,,,2,,,,21,lh,21,coe,,631,,26,,,,2/3,,63,,,
Steinfurter Straße,11,sa,06.01.2018,17:20,5,,o,,,,,2,,,,,,,2,,,,21,nrw,21,ms,,701,,14,,,,1/3,,27,,,
B 54,Linksabbieger FR BAB,do,04.01.2018,16:45,5,,m,,,,,2,,,,,,,2,,,,21,st,21,ms,,623,,14,,,,1,1,30,,,
Angelmodder Weg,Haltestelle Agathastraße,do,04.01.2018,18:40,5,,m,,,,,1,,,,,,,,1,,,40,os,,,,799,,49,,,,2,1,25,,,
Weseler Straße,Geiststraße,do,04.01.2018,11:40,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,623,,14,,,,,,30,,,
Kolde-Ring,Weseler Straße,do,04.01.2018,10:25,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,623,,14,,,,,,17,,Fahrschule,
Althoffstraße,31,do,04.01.2018,07:10,5,,m,,,,,2,,,,,,,1,1,,,40,ms,21,ms,,711,,36,,,,,,30,,,
Kolde-Ring,21,do,04.01.2018,09:50,5,,m,,,,,2,,,,,,,2,,,,21,m,21,ms,,711,,36,,,,,,24,,,
Hafenweg,ggü. 18,fr,05.01.2018,23:20,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,2/3,1,21,,,
Wienburgstraße,52,so,07.01.2018,18:55,5,,o,,,,,2,,1,n,,,,1,,,,71,,21,ms,,775,,55,,,,2,,19,,,
Hansaring,Schillerstraße,fr,05.01.2018,20:18,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,st,,623,,14,,,,2/3,1,39,,,
Homannstraße,60,sa,06.01.2018,03:30,5,,,o,,,,1,,,,,,,1,,,,21,ms,,,,751,,86,,,,2,1,43,,,
Grevener Straße,91,do,04.01.2018,11:00,5,,m,,,,,2,,,,,,,1,1,,,44,st,21,ms,,641,,26,,,,,,47,,,
Roxeler Straße,349,do,04.01.2018,07:41,5,,m,,,,,2,,,,,,,1,1,,,40,st,21,coe,,551,,36,37,,,1,1,24,,,
Melchersstraße,60,do,04.01.2018,20:48,5,,o,,,,,2,,1,n,,,,1,,,,71,,21,vie,,501,,14,,,,2,1,25,,,
