datum,uhrzeit,strassenschluessel,strassennummer,vu_ort,vu_hoehe,anzahl_beteiligte,t,sv,lv,ortslage,lsa_in_betrieb,fgue,kreisverkehr,zul_geschwindigkeit,flucht,pkw,fg,rf,mofa,lkw,bus,zug,kat,art,typ,alkohol,1,1_urs,2,2_urs,3
20190101,2120,K,K2,Mecklenbecker Straße,,2,0,0,1,1,0,0,0,50,0,1,0,0,1,0,0,0,3,Zusammenstoss mit einbiegendem/kreuzendem Fahrzeug,Abbiegeunfall (AB),0,PKW,49,Kraftrad,,
20190102,1930,B,B54,Weseler Straße,Moltkestraße,2,0,0,1,1,1,0,0,,0,0,0,1,0,0,0,0,3,Zusammenstoss mit seitlich in gleicher Richtung fahrendem Fahrzeug,Unfall im Längsverkehr (LV),0,Fahrrad,22,Fahrrad,,
20190102,1445,K,K16,Dorbaumstraße,Reinerskamp,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit vorausfahrendem/wartendem Fahrzeug,Abbiegeunfall (AB),0,PKW,14,PKW,,
20190102,655,L,L793,Wolbecker Straße,B 51,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit vorausfahrendem/wartendem Fahrzeug,Unfall im Längsverkehr (LV),0,PKW,14,PKW,,
20190101,2110,G,,An der Meerwiese,,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,PKW,36,PKW,,
20190101,1400,K,K6,Hansaring,Wolbecker Straße,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit einbiegendem/kreuzendem Fahrzeug,Abbiegeunfall (AB),0,PKW,32,PKW,,
20190101,1140,B,B54,Westfalenstraße,Hummelbrink,2,0,0,0,1,0,0,0,,0,1,0,0,0,1,0,0,5,Zusammenstoss mit einbiegendem/kreuzendem Fahrzeug,Einbiegen/Kreuzen-Unfall (EK),0,PKW,28,LKW,,
20190101,1614,G,,Zum Hiltruper See,,1,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,5,Unfall anderer Art,Fahrunfall (F),0,PKW,49,,,
20190103,1400,G,,Loddenheide,,2,0,0,0,1,0,0,0,,1,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,Sonstige,49,PKW,,
20190103,1330,G,,Kärntner Straße,,2,0,0,0,1,0,0,0,,1,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Unfall durch ruhenden Verkehr (RV),0,Sonstige,49,PKW,,
20190103,1736,G,,Von-Steuben-Straße,Hafenstraße,2,0,0,1,1,1,1,0,50,0,1,1,0,0,0,0,0,3,Zusammenstoss zwischen Fahrzeug und Fussgänger,Abbiegeunfall (AB),0,PKW,40,Fußgänger,,
20190104,1015,K,K6,Kaiser-Wilhelm-Ring,Warendorfer Straße,2,0,0,1,1,1,0,0,50,0,1,0,0,0,0,0,0,3,Zusammenstoss mit vorausfahrendem/wartendem Fahrzeug,Unfall im Längsverkehr (LV),0,PKW,14,PKW,,
20190105,1155,G,,Everswinkeler Straße,Grenkuhlenweg,2,0,0,2,1,0,0,0,100,0,1,0,0,0,0,0,0,3,Zusammenstoss mit einbiegendem/kreuzendem Fahrzeug,Einbiegen/Kreuzen-Unfall (EK),0,PKW,28,PKW,,
20190106,1300,G,,Hafenweg,,2,0,0,0,1,0,0,0,30,1,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Unfall durch ruhenden Verkehr (RV),0,Sonstige,49,PKW,,
20190106,1540,G,,Nerzweg,,2,0,0,0,1,0,0,0,,1,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Unfall durch ruhenden Verkehr (RV),0,PKW,49,PKW,,
20190106,1445,K,K5,Dingbängerweg,,2,0,0,1,0,0,0,0,50,0,1,0,0,0,0,0,0,3,Zusammenstoss mit vorausfahrendem/wartendem Fahrzeug,Unfall im Längsverkehr (LV),0,PKW,14,PKW,,
20190107,1345,G,,Sandfortskamp,,2,0,0,0,1,0,0,0,50,1,1,0,0,0,0,0,0,5,Unfall anderer Art,Unfall durch ruhenden Verkehr (RV),0,Sonstige,49,PKW,,
